id,symbol,last_close,signal,trend,rsi_14,rsi_overbought,rsi_oversold,ema_50,ema_200,golden_cross,death_cross,updated_at
102,^SET50,1039.709961,NEUTRAL,SIDEWAYS,,0,0,,,FALSE,FALSE,54:55.9
103,^SETHD,1450.119995,NEUTRAL,SIDEWAYS,,0,0,,,FALSE,FALSE,54:55.9
1,DELTA,298,NEUTRAL,BULLISH,36.81,0,0,321.5788162,249.8508412,FALSE,FALSE,54:55.9
2,PTT,36.75,NEUTRAL,BULLISH,58.26,0,0,35.83149864,34.04894347,FALSE,FALSE,54:55.9
3,AOT,62.5,NEUTRAL,BULLISH,60.22,0,0,58.23232956,50.41448116,FALSE,FALSE,54:55.9
4,ADVANC,375,NEUTRAL,BULLISH,63.7,0,0,360.7282355,337.8262233,FALSE,FALSE,54:55.9
5,GULF,61.75,NEUTRAL,BULLISH,47.69,0,0,61.46577409,53.40412035,FALSE,FALSE,54:55.9
6,PTTEP,141,NEUTRAL,BULLISH,58.83,0,0,139.5449759,129.1043582,FALSE,FALSE,54:55.9
7,CPALL,46.25,NEUTRAL,BULLISH,48.06,0,0,46.29607616,46.0498172,FALSE,FALSE,54:55.9
10,BBL,191,NEUTRAL,BULLISH,69.64,0,0,175.3918829,164.8385301,FALSE,FALSE,54:55.9
12,SCC,237,NEUTRAL,BULLISH,46.2,0,0,234.1335474,216.1704655,FALSE,FALSE,54:55.9
15,TRUE,12.89999962,NEUTRAL,BULLISH,39.58,0,0,13.52306915,12.59709801,FALSE,FALSE,54:55.9
16,CPN,65.75,NEUTRAL,BULLISH,48.04,0,0,65.27249362,60.06278819,FALSE,FALSE,54:55.9
17,BH,184,NEUTRAL,BULLISH,47.95,0,0,182.0252034,175.1231867,FALSE,FALSE,54:55.9
18,TOP,51,NEUTRAL,BULLISH,68.37,0,0,47.0337607,42.02580096,FALSE,FALSE,54:55.9
19,IVL,22.60000038,NEUTRAL,BULLISH,49.8,0,0,22.88633789,21.60916028,FALSE,FALSE,54:55.9
24,BCP,35.75,NEUTRAL,BULLISH,63.8,0,0,34.30874837,32.74597623,FALSE,FALSE,54:55.9
25,GPSC,46.5,NEUTRAL,BULLISH,67.42,0,0,41.68317201,38.72935375,FALSE,FALSE,54:55.9
26,WHA,4.96000004,NEUTRAL,BULLISH,44.94,0,0,4.89040593,4.13396862,FALSE,FALSE,54:55.9
28,SCGP,27,NEUTRAL,BULLISH,50.62,0,0,25.60043811,21.2669022,FALSE,FALSE,54:55.9
32,ITC,16.20000076,NEUTRAL,BULLISH,47.62,0,0,16.20498625,15.85893105,FALSE,FALSE,54:55.9
33,AWC,2.5,NEUTRAL,BULLISH,46.64,0,0,2.44160593,2.27102102,FALSE,FALSE,54:55.9
35,KCE,36.75,NEUTRAL,BULLISH,46.63,0,0,35.54606758,27.89361987,FALSE,FALSE,54:55.9
36,HANA,34.25,NEUTRAL,BULLISH,41.98,0,0,35.12490504,27.14352472,FALSE,FALSE,54:55.9
